time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-22 00:00:00+00:00,52,17,6,1
2026-05-23 00:00:00+00:00,35,17,0,0
2026-05-24 00:00:00+00:00,30,17,36,4
2026-05-25 00:00:00+00:00,41,5,1,1
2026-05-26 00:00:00+00:00,5,2,8,5
2026-05-27 00:00:00+00:00,37,17,7,1
2026-05-28 00:00:00+00:00,179,45,6,1
2026-05-29 00:00:00+00:00,21,12,1,1
2026-05-30 00:00:00+00:00,13,7,0,0
2026-05-31 00:00:00+00:00,46,13,0,0
2026-06-01 00:00:00+00:00,13,7,2,1
2026-06-02 00:00:00+00:00,22,7,1,1
2026-06-03 00:00:00+00:00,17,8,4,3
2026-06-04 00:00:00+00:00,23,8,5,1
